src_owner,src_scope,src_macrophase,src_target,src_landingzone,src_securityzone,src_implementationzone,src_component,src_component_instance,src_container,src_hosting,src_endpoints,src_provider,src_securityarea,dst_owner,dst_scope,dst_macrophase,dst_target,dst_landingzone,dst_securityzone,dst_implementationzone,dst_component,dst_component_instance,dst_container,dst_hosting,dst_endpoints,dst_provider,dst_securityarea,svc_owner,svc_scope,svc_name,svc_protocol,svc_port,svc_justification,svc_securityarea,dep_owner,dep_scope,dep_name,dep_genericsource,dep_generictarget,dep_justification,dep_securityarea,security_status,rule,servicenow,
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, DIHDEVOP, DIH, PRD, prd-we, amacp-prd-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal_PROD, Amadeus_DeveloperPortal_for_DIH_prod_EY, True, False, 10.56.101.128/25 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal_PROD, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_PRD_for_EY_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD PRD DMZ, False, False, 172.24.174.11/32 172.24.174.37/32 172.24.174.40/32 , Amadeus, BackLog, DIHDEVOP, DIH, PRD, prd-we, amacp-prd-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal_PROD, Amadeus_DeveloperPortal_for_DIH_prod_MH, True, False, 10.56.101.128/25 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal_PROD, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_PRD_for_MH_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_release_AY, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_RELEASE_for_AY_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_release_EY, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_RELEASE_for_EY_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_release_MH, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_RELEASE_for_MH_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD UAT DMZ, False, False, 172.17.35.167/32 172.17.35.210/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_release_SV, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_RELEASE_for_SV_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_validation_ac, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_TST_for_AC_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_test_AY, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_TST_for_AY_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_test_CX, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_TST_for_CX_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
OAWSSRE, 1A4DEV, PRD, Legacy DC Erding, DMZ - Erding, dmz, , OBE PAD, OBE PAD DEV DMZ, False, False, 172.17.35.146/32 172.17.35.147/32 , Amadeus, BackLog, DIHDEVOP, DIH, TST, tst-we, amacp-tst-we-cur-01-net-01, app, , DIH_subnet_app_comp1_DevPortal, Amadeus_DeveloperPortal_for_DIH_test_EY, True, False, 10.56.208.0/24 , Microsoft - Azure, BackLog, DIHDEVOP, DIH, Service-DevPortal, Tcp, 80  443  8080  8083, This service will be used for Connection from Amadeus Portals, BackLog, OAWSSRE, 1A4DEV, 1A4DEV_to_DIH_TST_for_EY_dependency, False, False, To connect 1A4DEV to DIH, BackLog, False, , , 
